iterations,train_loss,test_loss,Accuracy,F1Score_macro,Recall_macro,Precision_macro,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/data_dir,config/dataset_name,config/target_count,config/batch_size,config/output,config/dropout,config/num_conv_layers,config/conv1_kernel,config/conv2_kernel,config/conv3_kernel,config/conv4_kernel,config/conv5_kernel,config/conv1_channels,config/conv2_channels,config/conv3_channels,config/conv4_channels,config/conv5_channels,config/fc1_size,config/fc2_size,config/fc3_size,config/lr,config/weight_decay,logdir
14,0.2141743004322052,0.33589539921989564,0.8717105263157895,0.6580338271284757,0.9229106607300349,0.647080387711606,1751018168,,True,15,773a0671,2025-06-27_09-56-08,387.66937494277954,2102.1079041957855,17043,ML-RefVm-423156,10.0.0.10,2102.1079041957855,15,/home/azureuser/MADS-exam-25/data,heart_big,15000,32,5,0.49982665663723486,4,11,7,7,3,3,32,80,128,128,256,448,256,64,0.0026622555583205127,0.0002,773a0671
7,0.22168682515621185,0.39918728717412166,0.8601059941520468,0.6308751807629913,0.8932547290602358,0.6233691354509545,1751017067,,True,8,80eee7d9,2025-06-27_09-37-47,143.39449000358582,994.6360111236572,17113,ML-RefVm-423156,10.0.0.10,994.6360111236572,8,/home/azureuser/MADS-exam-25/data,heart_big,15000,32,5,0.37204344194101385,5,9,5,5,3,3,32,80,128,128,256,384,224,96,0.0016393996617440018,5e-05,80eee7d9
14,0.0919637605547905,0.205864109324934,0.913422880116959,0.7305603608627912,0.9441025830642085,0.7201709696685089,1751017459,,True,15,c0ceb5a9,2025-06-27_09-44-19,91.07844829559326,1380.7241628170013,17172,ML-RefVm-423156,10.0.0.10,1380.7241628170013,15,/home/azureuser/MADS-exam-25/data,heart_big,20000,32,5,0.442839097367653,4,11,7,3,3,3,48,80,128,128,256,320,288,64,0.0009145013541702187,5e-05,c0ceb5a9
14,0.15406949818134308,0.4858463338374743,0.7798336988304093,0.5824200599325571,0.8915759516024617,0.578969290442552,1751018946,,True,15,92151337,2025-06-27_10-09-06,129.5655653476715,1872.7060611248016,19559,ML-RefVm-423156,10.0.0.10,1872.7060611248016,15,/home/azureuser/MADS-exam-25/data,heart_big,15000,32,5,0.4780814160862047,5,13,7,7,3,3,32,64,96,160,256,384,224,96,0.0009757463643327756,0.0001,92151337
14,0.18527302145957947,0.4353953897517327,0.8273026315789473,0.6066479815967971,0.907308407884982,0.5897055351715127,1751018665,,True,15,5a58c41a,2025-06-27_10-04-25,133.33810949325562,1197.9715223312378,19648,ML-RefVm-423156,10.0.0.10,1197.9715223312378,15,/home/azureuser/MADS-exam-25/data,heart_big,15000,32,5,0.42244957585007803,4,9,7,5,3,3,48,80,96,160,192,320,288,128,0.0026450840019094477,0.0002,5a58c41a
14,0.14447021484375,0.2995589916779502,0.8778326023391813,0.6841561566119787,0.92493364475386,0.676854854996258,1751019238,,True,15,81abd79a,2025-06-27_10-13-58,81.29812788963318,1060.662297964096,19838,ML-RefVm-423156,10.0.0.10,1060.662297964096,15,/home/azureuser/MADS-exam-25/data,heart_big,15000,32,5,0.4503704974329024,4,11,5,3,3,3,48,80,96,128,192,448,288,96,0.0012277127152903878,5e-05,81abd79a
7,0.2076883763074875,0.36858912112942915,0.8506030701754386,0.6761445062771425,0.9063019243344222,0.6800672168245953,1751019747,,True,8,d25015d7,2025-06-27_10-22-27,145.4381604194641,1072.9672119617462,20142,ML-RefVm-423156,10.0.0.10,1072.9672119617462,8,/home/azureuser/MADS-exam-25/data,heart_big,20000,32,5,0.47971922203882744,5,9,5,7,3,3,32,64,128,160,192,384,256,96,0.0016098056729164695,0.0002,d25015d7
14,0.10326322913169861,0.23513301509930834,0.9247076023391813,0.7362288877896669,0.9390482049350837,0.7331838639167023,1751020136,,True,15,c7f535a4,2025-06-27_10-28-56,81.23636984825134,1182.185707807541,20219,ML-RefVm-423156,10.0.0.10,1182.185707807541,15,/home/azureuser/MADS-exam-25/data,heart_big,20000,32,5,0.3608146336516932,4,9,5,3,3,3,32,80,96,128,256,320,224,128,0.0012350783108883822,5e-05,c7f535a4
14,0.1453678011894226,0.24889387338754465,0.909265350877193,0.7081824074780109,0.9290600431676999,0.7036092679726933,1751021362,,True,15,f5877063,2025-06-27_10-49-22,152.65016508102417,2114.2620635032654,20345,ML-RefVm-423156,10.0.0.10,2114.2620635032654,15,/home/azureuser/MADS-exam-25/data,heart_big,20000,32,5,0.4684903330631339,5,11,9,5,3,3,32,80,96,160,192,448,256,64,0.0015986117578215746,5e-05,f5877063
7,0.18368960916996002,0.4048302591565931,0.8336531432748538,0.6207093976179408,0.9077810589844861,0.60732144140467,1751021012,,True,8,aa0031eb,2025-06-27_10-43-32,170.9130880832672,1255.460858821869,21184,ML-RefVm-423156,10.0.0.10,1255.460858821869,8,/home/azureuser/MADS-exam-25/data,heart_big,20000,32,5,0.3776151611196099,5,13,9,7,3,3,48,64,128,160,256,320,256,128,0.0012145204021461059,0.0001,aa0031eb
14,0.11371191591024399,0.1948898246822258,0.9152503654970761,0.7232016696494771,0.9367614058448205,0.7204758854595511,1751022235,,True,15,0f9547bb,2025-06-27_11-03-55,135.45716166496277,2091.725914001465,21360,ML-RefVm-423156,10.0.0.10,2091.725914001465,15,/home/azureuser/MADS-exam-25/data,heart_big,20000,32,5,0.35291079418698584,5,13,7,7,3,3,48,64,128,160,192,320,256,96,0.0012098168395762588,5e-05,0f9547bb
7,0.19839507341384888,0.2759611420442312,0.8879751461988304,0.6898971240981141,0.9068932761936758,0.6934475006501011,1751021728,,True,8,9060e5ac,2025-06-27_10-55-28,99.92397403717041,707.3528802394867,21507,ML-RefVm-423156,10.0.0.10,707.3528802394867,8,/home/azureuser/MADS-exam-25/data,heart_big,20000,32,5,0.35432768841094425,4,13,7,3,3,3,48,64,96,160,256,448,288,64,0.00206182736179768,0.0002,9060e5ac
7,0.24956274032592773,0.5471350157862169,0.7668128654970761,0.5851291451561696,0.8744493377466771,0.5915970008407414,1751022327,,True,8,6a313a13,2025-06-27_11-05-27,126.68320608139038,955.4964730739594,21591,ML-RefVm-423156,10.0.0.10,955.4964730739594,8,/home/azureuser/MADS-exam-25/data,heart_big,15000,32,5,0.491936443180109,5,9,7,5,3,3,48,64,128,128,256,320,288,128,0.0016863730026738589,5e-05,6a313a13
7,0.2747017443180084,0.4521813561802196,0.8326023391812866,0.6056320494549955,0.8970344290953696,0.5939927104865173,1751022561,,True,8,a0aec740,2025-06-27_11-09-21,87.73221254348755,825.7659811973572,21678,ML-RefVm-423156,10.0.0.10,825.7659811973572,8,/home/azureuser/MADS-exam-25/data,heart_big,15000,32,5,0.4728391473267652,5,11,9,5,3,3,48,64,128,160,192,448,224,96,0.00275099570059545,0.0001,a0aec740
14,0.13223537802696228,0.3348909289118621,0.882172880116959,0.6647599691830481,0.9231426937446794,0.6560953961059292,1751023806,,True,15,3aef2597,2025-06-27_11-30-06,162.5512466430664,1562.4881780147552,21783,ML-RefVm-423156,10.0.0.10,1562.4881780147552,15,/home/azureuser/MADS-exam-25/data,heart_big,20000,32,5,0.43162790119137834,5,11,9,3,3,3,32,80,128,160,192,320,224,96,0.0010058813788630468,0.0002,3aef2597
